"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"GGP^A","GGP Inc.","25.185","n/a","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/ggp^a",
"ROCK","Gibraltar Industries, Inc.","33.7","$1.07B","1993","Capital Goods","Steel/Iron Ore","http://www.nasdaq.com/symbol/rock",
"GIGM","GigaMedia Limited","3.05","$33.71M","n/a","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/gigm",
"GIG.U","GigCapital, Inc.","n/a","n/a","2017","n/a","n/a","http://www.nasdaq.com/symbol/gig.u",
"GIII","G-III Apparel Group, LTD.","37.86","$1.86B","1989","Consumer Non-Durables","Apparel","http://www.nasdaq.com/symbol/giii",
"GILT","Gilat Satellite Networks Ltd.","8.163","$446.7M","n/a","Technology","Radio And Television Broadcasting And Communications Equipment","http://www.nasdaq.com/symbol/gilt",
"GIL","Gildan Activewear, Inc.","32.29","$7.08B","1998","Consumer Non-Durables","Apparel","http://www.nasdaq.com/symbol/gil",
"GILD","Gilead Sciences, Inc.","74.1","$96.79B","1992","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/gild",
"GBCI","Glacier Bancorp, Inc.","39","$3.04B","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/gbci",
"GLAD","Gladstone Capital Corporation","9.27","$246.88M","2001","Consumer Non-Durables","Textiles","http://www.nasdaq.com/symbol/glad",
"GLADN","Gladstone Capital Corporation","25.6","n/a","n/a","Consumer Non-Durables","Textiles","http://www.nasdaq.com/symbol/gladn",
"GOOD","Gladstone Commercial Corporation","20.81","$595.87M","2003","Consumer Services","Real Estate","http://www.nasdaq.com/symbol/good",
"GOODM","Gladstone Commercial Corporation","25.86","n/a","n/a","Consumer Services","Real Estate","http://www.nasdaq.com/symbol/goodm",
"GOODO","Gladstone Commercial Corporation","26.4415","$30.41M","n/a","Consumer Services","Real Estate","http://www.nasdaq.com/symbol/goodo",
"GOODP","Gladstone Commercial Corporation","26.1437","$26.14M","n/a","Consumer Services","Real Estate","http://www.nasdaq.com/symbol/goodp",
"GAIN","Gladstone Investment Corporation","11.27","$366.57M","2005","n/a","n/a","http://www.nasdaq.com/symbol/gain",
"GAINM","Gladstone Investment Corporation","25.6112","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/gainm",
"GAINN","Gladstone Investment Corporation","25.47","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/gainn",
"GAINO","Gladstone Investment Corporation","25.3999","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/gaino",
"LAND","Gladstone Land Corporation","13.59","$185.34M","2013","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/land",
"LANDP","Gladstone Land Corporation","25.9","n/a","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/landp",
"GLT","Glatfelter","21.84","$951.93M","n/a","Basic Industries","Paper","http://www.nasdaq.com/symbol/glt",
"GKOS","Glaukos Corporation","27.08","$936.03M","2015","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/gkos",
"GSK","GlaxoSmithKline PLC","36.93","$91.55B","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/gsk",
"GLBZ","Glen Burnie Bancorp","11.2","$31.37M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/glbz",
"GBT","Global Blood Therapeutics, Inc.","41.6","$1.93B","2015","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/gbt",
"BRSS","Global Brass and Copper Holdings, Inc.","33.8","$740.35M","2013","Capital Goods","Metal Fabrications","http://www.nasdaq.com/symbol/brss",
"ENT","Global Eagle Entertainment Inc.","2.33","$211.5M","2011","Consumer Services","Telecommunications Equipment","http://www.nasdaq.com/symbol/ent",
"GBLI","Global Indemnity Limited","41.16","$724.27M","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/gbli",
"GBLIL","Global Indemnity Limited","25.8166","n/a","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/gblil",
"GBLIZ","Global Indemnity Limited","25.62","n/a","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/gbliz",
"GMRE","Global Medical REIT Inc.","8.49","$183.64M","2016","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/gmre",
"GMRE^A","Global Medical REIT Inc.","25.43","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/gmre^a",
"GNL","Global Net Lease, Inc.","20.57","$1.38B","2015","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/gnl",
"GNL^A","Global Net Lease, Inc.","25.72","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/gnl^a",
"GPAC","Global Partner Acquisition Corp.","10.03","$160.38M","2015","Consumer Durables","Home Furnishings","http://www.nasdaq.com/symbol/gpac",
"GPACU","Global Partner Acquisition Corp.","10.9","n/a","2015","Consumer Durables","Home Furnishings","http://www.nasdaq.com/symbol/gpacu",
"GPACW","Global Partner Acquisition Corp.","1.07","n/a","2015","Consumer Durables","Home Furnishings","http://www.nasdaq.com/symbol/gpacw",
"GLP","Global Partners LP","17.7","$601.72M","2005","Energy","Oil Refining/Marketing","http://www.nasdaq.com/symbol/glp",
"GPN","Global Payments Inc.","99.56","$15.84B","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/gpn",
"SELF","Global Self Storage, Inc.","4.62","$35.2M","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/self",
"GSL","Global Ship Lease, Inc.","1.18","$64.88M","n/a","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/gsl",
"GSL^B","Global Ship Lease, Inc.","24.146","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/gsl^b",
"GWRS","Global Water Resources, Inc.","9.15","$179.63M","2016","Public Utilities","Water Supply","http://www.nasdaq.com/symbol/gwrs",
